record_id,gene_symbol,aliases,ensembl_gene_id,scope_kind,source_scope,source_record_key,driver_role,decision,tissue_frequency_percent,pancancer_frequency_percent,pmid,doi,source_locator,identifier_release,upstream_repository,upstream_ref,source_file_sha256
bailey2018-s1-0015,ALB,,ENSG00000163631,source_cancer_code,LIHC,ALB_LIHC,possible tsg,official,13.56,1.66,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0016,ALK,,ENSG00000171094,pan_cancer,PANCAN,ALK_PANCAN,,rescued,,2.43,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0017,AMER1,,ENSG00000184675,pan_cancer,PANCAN,AMER1_PANCAN,possible tsg,official,,2.74,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0018,AMER1,,ENSG00000184675,source_cancer_code,COADREAD,AMER1_COADREAD,possible tsg,official,11.71,2.74,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0019,APC,,ENSG00000134982,source_cancer_code,PRAD,APC_PRAD,tsg,official,2.10,5.87,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0020,APC,,ENSG00000134982,pan_cancer,PANCAN,APC_PANCAN,tsg,official,,5.87,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0021,APC,,ENSG00000134982,source_cancer_code,STAD,APC_STAD,tsg,official,8.96,5.87,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0022,APC,,ENSG00000134982,source_cancer_code,COADREAD,APC_COADREAD,tsg,official,81.96,5.87,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0023,APOB,,ENSG00000084674,source_cancer_code,LIHC,APOB_LIHC,possible tsg,official,10.17,8.08,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0024,AR,,ENSG00000169083,pan_cancer,PANCAN,AR_PANCAN,,rescued,,1.46,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0025,ARAF,,ENSG00000078061,pan_cancer,PANCAN,ARAF_PANCAN,,rescued,,0.79,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0026,ARHGAP35,,ENSG00000160007,source_cancer_code,LUSC,ARHGAP35_LUSC,tsg,official,6.03,2.58,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0027,ARHGAP35,,ENSG00000160007,pan_cancer,PANCAN,ARHGAP35_PANCAN,tsg,official,,2.58,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0028,ARHGAP35,,ENSG00000160007,source_cancer_code,UCEC,ARHGAP35_UCEC,tsg,official,13.89,2.58,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0029,ARID1A,,ENSG00000117713,source_cancer_code,ESCA,ARID1A_ESCA,tsg,official,6.98,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0030,ARID1A,,ENSG00000117713,source_cancer_code,LUAD,ARID1A_LUAD,tsg,official,4.64,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0031,ARID1A,,ENSG00000117713,source_cancer_code,LUSC,ARID1A_LUSC,tsg,official,7.33,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0032,ARID1A,,ENSG00000117713,source_cancer_code,UCS,ARID1A_UCS,tsg,official,9.09,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0033,ARID1A,,ENSG00000117713,source_cancer_code,CHOL,ARID1A_CHOL,,official,11.76,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0034,ARID1A,,ENSG00000117713,source_cancer_code,COADREAD,ARID1A_COADREAD,possible oncogene,official,5.06,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0035,ARID1A,,ENSG00000117713,source_cancer_code,CESC,ARID1A_CESC,tsg,official,5.84,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0036,ARID1A,,ENSG00000117713,source_cancer_code,LGG,ARID1A_LGG,possible tsg,official,3.92,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0037,ARID1A,,ENSG00000117713,source_cancer_code,PAAD,ARID1A_PAAD,tsg,official,5.16,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0038,ARID1A,,ENSG00000117713,source_cancer_code,BLCA,ARID1A_BLCA,tsg,official,25.91,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0039,ARID1A,,ENSG00000117713,source_cancer_code,BRCA,ARID1A_BRCA,tsg,official,3.34,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0040,ARID1A,,ENSG00000117713,source_cancer_code,LIHC,ARID1A_LIHC,tsg,official,9.04,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0041,ARID1A,,ENSG00000117713,pan_cancer,PANCAN,ARID1A_PANCAN,tsg,official,,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0042,ARID1A,,ENSG00000117713,source_cancer_code,UCEC,ARID1A_UCEC,tsg,official,39.65,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0043,ARID1A,,ENSG00000117713,source_cancer_code,STAD,ARID1A_STAD,tsg,official,15.41,6.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0044,ARID2,,ENSG00000189079,source_cancer_code,HNSC,ARID2_HNSC,possible tsg,official,3.78,3.16,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0045,ARID2,,ENSG00000189079,source_cancer_code,LGG,ARID2_LGG,possible tsg,official,1.96,3.16,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0046,ARID2,,ENSG00000189079,source_cancer_code,STAD,ARID2_STAD,possible tsg,official,5.32,3.16,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0047,ARID2,,ENSG00000189079,source_cancer_code,LIHC,ARID2_LIHC,tsg,official,5.65,3.16,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0048,ARID2,,ENSG00000189079,pan_cancer,PANCAN,ARID2_PANCAN,tsg,official,,3.16,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0049,ARID2,,ENSG00000189079,source_cancer_code,SKCM,ARID2_SKCM,tsg,official,12.09,3.16,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0050,ARID5B,,ENSG00000150347,source_cancer_code,UCEC,ARID5B_UCEC,possible tsg,official,12.12,1.72,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0051,ASXL1,,ENSG00000171456,pan_cancer,PANCAN,ASXL1_PANCAN,possible tsg,official,,2.10,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0052,ASXL1,,ENSG00000171456,source_cancer_code,LAML,ASXL1_LAML,tsg,official,4.32,2.10,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0053,ASXL2,,ENSG00000143970,pan_cancer,PANCAN,ASXL2_PANCAN,possible tsg,official,,1.85,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0054,ASXL2,,ENSG00000143970,source_cancer_code,BLCA,ASXL2_BLCA,possible tsg,official,7.51,1.85,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0055,ATF7IP,,ENSG00000171681,source_cancer_code,UCEC,ATF7IP_UCEC,possible tsg,official,4.80,1.75,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0056,ATF7IP,,ENSG00000171681,pan_cancer,PANCAN,ATF7IP_PANCAN,tsg,official,,1.75,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0057,ATM,,ENSG00000149311,source_cancer_code,UCEC,ATM_UCEC,tsg,official,10.35,4.12,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0058,ATM,,ENSG00000149311,source_cancer_code,BLCA,ATM_BLCA,possible tsg,official,13.47,4.12,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0059,ATM,,ENSG00000149311,pan_cancer,PANCAN,ATM_PANCAN,tsg,official,,4.12,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0060,ATM,,ENSG00000149311,source_cancer_code,LUAD,ATM_LUAD,tsg,official,7.89,4.12,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0061,ATM,,ENSG00000149311,source_cancer_code,KIRC,ATM_KIRC,tsg,official,4.08,4.12,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0062,ATR,,ENSG00000175054,pan_cancer,PANCAN,ATR_PANCAN,possible tsg,official,,2.81,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0063,ATR,,ENSG00000175054,source_cancer_code,UCEC,ATR_UCEC,possible tsg,official,4.80,2.81,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0064,ATRX,,ENSG00000085224,source_cancer_code,ACC,ATRX_ACC,possible tsg,official,4.44,5.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0065,ATRX,,ENSG00000085224,source_cancer_code,GBM,ATRX_GBM,tsg,official,7.40,5.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0066,ATRX,,ENSG00000085224,pan_cancer,PANCAN,ATRX_PANCAN,tsg,official,,5.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0067,ATRX,,ENSG00000085224,source_cancer_code,SARC,ATRX_SARC,tsg,official,16.67,5.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0068,ATRX,,ENSG00000085224,source_cancer_code,LGG,ATRX_LGG,tsg,official,38.24,5.69,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0069,ATXN3,,ENSG00000066427,pan_cancer,PANCAN,ATXN3_PANCAN,possible tsg,official,,0.40,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
bailey2018-s1-0070,AXIN1,,ENSG00000103126,pan_cancer,PANCAN,AXIN1_PANCAN,tsg,official,,1.41,PMID:29625053,DOI:10.1016/j.cell.2018.02.060,Table S1,Ensembl release 92,https://github.com/openvax/gene-lists,d0a2f0bcbc59e612fde6108df6cb28d469e0f90e,dbfb76d906e218dab2d94e90dd51f8db41dbccf6c82da11311baa418ea738fdf
