source_id,cptac_cohort,cancer_code,modality,source_class,source_scale,source_record,source_file,byte_size,checksum,source_url,license_id,processing_software,processing_version,processing_commit,tissue_scope
CPTAC_BCM_BRCA_RNA,BRCA,BRCA,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,BRCA-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,7264462,md5:e4de5faf4bdc233d6b20206fa8274ed1,https://zenodo.org/api/records/8394329/files/bcm-brca-transcriptomics-BRCA-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_BRCA_PROTEIN,BRCA,BRCA,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,BRCA_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,9480132,md5:a74586b63f55f0730f16adc0b32e41b8,https://zenodo.org/api/records/8394329/files/bcm-brca-proteomics-BRCA_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_CCRCC_RNA,CCRCC,KIRC,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,CCRCC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,12923771,md5:a799ffebbfadff815afa5f8d9596e230,https://zenodo.org/api/records/8394329/files/bcm-ccrcc-transcriptomics-CCRCC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_CCRCC_PROTEIN,CCRCC,KIRC,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,CCRCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,7315241,md5:264d093f48ba9662bd56b9b19d9af73b,https://zenodo.org/api/records/8394329/files/bcm-ccrcc-proteomics-CCRCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_COAD_RNA,COAD,COAD,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,CRC-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,5681583,md5:ef362745740685122c81377fbd8fa770,https://zenodo.org/api/records/8394329/files/bcm-coad-transcriptomics-CRC-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_COAD_PROTEIN,COAD,COAD,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,COAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,5383204,md5:6a146072cbcbe64db8764b632c2e94ae,https://zenodo.org/api/records/8394329/files/bcm-coad-proteomics-COAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_GBM_RNA,GBM,GBM,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,GBM-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,7371499,md5:2013e880041365f4ff50e65b870e28d7,https://zenodo.org/api/records/8394329/files/bcm-gbm-transcriptomics-GBM-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_GBM_PROTEIN,GBM,GBM,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,GBM_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,8032786,md5:6380e8188f8e52326e4e3badc5935be3,https://zenodo.org/api/records/8394329/files/bcm-gbm-proteomics-GBM_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_HNSCC_RNA,HNSCC,HNSC,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,HNSCC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,11979018,md5:6112161c3eb093b4fabc66711a5e1b1b,https://zenodo.org/api/records/8394329/files/bcm-hnscc-transcriptomics-HNSCC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_HNSCC_PROTEIN,HNSCC,HNSC,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,HNSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,8046367,md5:0f5eb0976fcf774639f53df780c1d4ae,https://zenodo.org/api/records/8394329/files/bcm-hnscc-proteomics-HNSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_LSCC_RNA,LSCC,LUSC,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,LSCC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,14887786,md5:79e5f0c46f1f8bfcd7386add33c9fcdb,https://zenodo.org/api/records/8394329/files/bcm-lscc-transcriptomics-LSCC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_LSCC_PROTEIN,LSCC,LUSC,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,LSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,9191334,md5:c585436d5dd4e4d2b50e184e96029db3,https://zenodo.org/api/records/8394329/files/bcm-lscc-proteomics-LSCC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_LUAD_RNA,LUAD,LUAD,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,LUAD-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,14875822,md5:179aef2812603a70ed2b03958762d51d,https://zenodo.org/api/records/8394329/files/bcm-luad-transcriptomics-LUAD-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_LUAD_PROTEIN,LUAD,LUAD,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,8625334,md5:c234a021ab39f4bf1023ca86cf323818,https://zenodo.org/api/records/8394329/files/bcm-luad-proteomics-LUAD_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_OV_RNA,OV,OV,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,OV-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,5337223,md5:cb8d4b78dda29ef774d5fdcae56a556b,https://zenodo.org/api/records/8394329/files/bcm-ov-transcriptomics-OV-gene_RSEM_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_OV_PROTEIN,OV,OV,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,OV_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,5510992,md5:9889ca9f499a24e416fe44ec8726bfb6,https://zenodo.org/api/records/8394329/files/bcm-ov-proteomics-OV_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_PDAC_RNA,PDAC,PAAD,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,PDAC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,14701755,md5:202f0a5ba11d7ede7b70f6f88ae69dfb,https://zenodo.org/api/records/8394329/files/bcm-pdac-transcriptomics-PDAC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_PDAC_PROTEIN,PDAC,PAAD,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,PDAC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,7382441,md5:988150c28a2c1db14a3c0e62d08c06d2,https://zenodo.org/api/records/8394329/files/bcm-pdac-proteomics-PDAC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_UCEC_RNA,UCEC,UCEC,rna,cptac_matched_quantitative,log2_uq_rsem_plus_1,10.5281/zenodo.8394329,UCEC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz,8500206,md5:c98263541e80b4f7d0c0aa972474321c,https://zenodo.org/api/records/8394329/files/bcm-ucec-transcriptomics-UCEC-gene_rsem_removed_circRNA_tumor_normal_UQ_log2(x+1)_BCM.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
CPTAC_BCM_UCEC_PROTEIN,UCEC,UCEC,protein,cptac_matched_quantitative,log2_tmt_reference_intensity_normalized,10.5281/zenodo.8394329,UCEC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz,7335302,md5:7b4e2e7172869d812255f9f7acf44f3d,https://zenodo.org/api/records/8394329/files/bcm-ucec-proteomics-UCEC_proteomics_gene_abundance_log2_reference_intensity_normalized_Tumor.txt.gz/content,CC-BY-4.0,PayneLab/cptac,1.5.14,2255e5d20cf66ac8072ccfbb66519d4f7e7fb06a,tumor
