source_id,source_name,source_version,modality,source_class,source_scale,source_url,archive_filename,archive_byte_size,archive_sha256,extracted_filename,extracted_byte_size,extracted_sha256,license_id,tissue_scope
hpa-v23-rna-tissue-consensus,hpa_rna_consensus,v23,rna,hpa_normal_tissue_ihc_weak_prior,hpa_consensus_ntpm,https://v23.proteinatlas.org/download/rna_tissue_consensus.tsv.zip,rna_tissue_consensus.tsv.zip,5170393,b9ac6bbdf8152524ff845767638f4c92389b2933c5ef02060dee68b873176095,rna_tissue_consensus.tsv,37949495,c49b5b33a076e3b9c1eb4f7d15d063ee936e07045e192ceccfeb9edcf1d90ddb,CC-BY-SA-3.0,normal_tissue
hpa-v23-normal-tissue-ihc,hpa_normal_tissue,v23,protein,hpa_normal_tissue_ihc_weak_prior,hpa_ihc_categorical_level,https://v23.proteinatlas.org/download/normal_tissue.tsv.zip,normal_tissue.tsv.zip,5615221,11f1c10095ac4ced74a38faf1257ae924d623139b9d80f4585c8d685c36213f6,normal_tissue.tsv,82941549,1fa9111070f23290d29a32eaa30695689599b5231e7d0bc935b60a777ad3a1cc,CC-BY-SA-3.0,normal_tissue
