Symbol,reference_tpm
7SK,0.0
AC000078.1,0.0
AC000081.1,0.0
AC004461.1,0.0
AC005005.2,0.0
AC005262.1,0.0
AC006130.2,0.0
AC006539.1,0.0
AC007683.1,0.0
AC008481.1,0.0
AC008481.2,0.0
AC010598.1,0.0
AC010970.1,0.0
AC011444.4,0.0
AC012158.1,0.0
AC012618.1,0.0
AC012618.2,0.0
AC018695.1,0.0
AC090498.1,0.0
AC091304.1,0.0
AC092670.1,0.0
AC110749.1,0.0
AC243919.1,0.0
AL022237.1,0.0
AL022331.1,0.0
AL022342.1,0.0
AL031727.1,0.0
AL033519.3,0.0
AL035461.1,0.0
AL080243.2,0.0
AL096701.1,0.0
AL096701.2,0.0
AL121776.1,0.0
AL121890.1,0.0
AL138807.1,0.0
AL139100.1,0.0
AL354766.1,0.0
AL355802.1,0.0
AL356361.3,0.0
AL356421.1,0.0
AL358178.1,0.0
AL445529.1,0.0
AL583834.1,0.0
AP000343.1,0.0
AP000354.1,0.0
AP000769.5,0.0
FO393411.1,0.0
MALAT1,87.339996
MT-ATP6,9633.87207
MT-ATP8,12554.348633
MT-CO1,12795.953125
MT-CO2,11042.662109
MT-CO3,11687.561523
MT-CYB,5106.431641
MT-ND1,4664.477539
MT-ND2,5757.529297
MT-ND3,6924.661621
MT-ND4,8582.602539
MT-ND4L,5780.181152
MT-ND5,1726.697388
MT-ND6,2741.023682
MT-RNR1,1502.447754
MT-RNR2,5174.48584
MT-TA,0.0
MT-TC,0.0
MT-TD,0.0
MT-TE,0.0
MT-TF,0.0
MT-TG,0.0
MT-TH,0.0
MT-TI,0.0
MT-TK,0.0
MT-TL1,0.0
MT-TL2,0.0
MT-TM,0.0
MT-TN,0.0
MT-TP,0.0
MT-TQ,0.0
MT-TR,0.0
MT-TS1,0.0
MT-TS2,0.0
MT-TT,0.0
MT-TV,0.0
MT-TW,0.0
MT-TY,0.0
MTATP6P1,1254.241211
MTATP6P10,0.0
MTATP6P11,0.0
MTATP6P13,0.0
MTATP6P14,0.0
MTATP6P15,0.0
MTATP6P16,0.0
MTATP6P17,0.0
MTATP6P18,0.0
MTATP6P19,0.0
MTATP6P2,0.0
MTATP6P20,0.0
MTATP6P21,0.0
MTATP6P22,0.0
MTATP6P23,0.0
MTATP6P24,0.0
MTATP6P25,0.0
MTATP6P26,0.0
MTATP6P27,0.0
MTATP6P29,0.0
MTATP6P3,0.0
MTATP6P30,0.0
MTATP6P31,0.0
MTATP6P4,0.0
MTATP6P5,0.0
MTATP6P7,0.0
MTATP6P8,0.0
MTATP6P9,0.0
MTATP8P1,0.830088
MTATP8P2,0.0
MTCO1P1,0.0
MTCO1P10,0.0
MTCO1P11,0.0
MTCO1P12,0.0
MTCO1P14,0.0
MTCO1P15,0.0
MTCO1P17,0.0
MTCO1P18,0.0
MTCO1P19,0.0
MTCO1P2,0.0
MTCO1P20,0.0
MTCO1P21,0.0
MTCO1P22,0.0
MTCO1P23,0.0
MTCO1P24,0.0
MTCO1P25,0.0
MTCO1P27,0.0
MTCO1P28,0.0
MTCO1P29,0.0
MTCO1P3,0.0
MTCO1P30,0.0
MTCO1P31,0.0
MTCO1P35,0.0
MTCO1P38,0.0
MTCO1P39,0.0
MTCO1P4,0.0
MTCO1P40,0.0
MTCO1P42,0.0
MTCO1P43,0.0
MTCO1P44,0.0
MTCO1P45,0.0
MTCO1P46,0.0
MTCO1P47,0.0
MTCO1P48,0.0
MTCO1P49,0.0
MTCO1P5,0.0
MTCO1P51,0.0
MTCO1P52,0.0
MTCO1P53,0.0
MTCO1P54,0.0
MTCO1P55,0.0
MTCO1P56,0.0
MTCO1P57,0.0
MTCO1P58,0.0
MTCO1P6,0.0
MTCO1P7,0.0
MTCO1P8,0.0
MTCO1P9,0.0
MTCO2P1,0.0
MTCO2P10,0.0
MTCO2P11,0.0
MTCO2P12,0.0
MTCO2P15,0.0
MTCO2P16,0.0
MTCO2P17,0.0
MTCO2P18,0.0
MTCO2P19,0.0
MTCO2P2,0.0
MTCO2P20,0.0
MTCO2P21,0.0
MTCO2P22,0.0
MTCO2P23,0.0
MTCO2P24,0.0
MTCO2P25,0.0
MTCO2P27,0.0
MTCO2P29,0.0
MTCO2P3,0.0
MTCO2P30,0.0
MTCO2P31,0.0
MTCO2P32,0.0
MTCO2P33,0.0
MTCO2P34,0.0
MTCO2P4,0.0
MTCO2P5,0.0
MTCO2P6,0.0
MTCO2P7,0.0
MTCO2P8,0.0
MTCO2P9,0.0
MTCO3P1,0.0
MTCO3P10,0.0
MTCO3P11,0.0
MTCO3P12,0.0
MTCO3P13,0.0
MTCO3P15,0.0
MTCO3P16,0.0
MTCO3P17,0.0
MTCO3P18,0.0
MTCO3P19,0.0
MTCO3P2,0.0
MTCO3P20,0.0
MTCO3P21,0.0
MTCO3P22,0.0
MTCO3P23,0.0
MTCO3P24,0.0
MTCO3P27,0.0
MTCO3P28,0.0
